pheno,pc,lambda_gc
breast_cancer_self_report,0,1.04044160467332
breast_cancer_self_report,10,1.03704521620845
breast_cancer_self_report,12,1.037026050791
breast_cancer_self_report,14,1.0367769240818
breast_cancer_self_report,16,1.03653742070205
breast_cancer_self_report,2,1.0407153985459
breast_cancer_self_report,4,1.03777848912107
breast_cancer_self_report,6,1.0377161700568
breast_cancer_self_report,8,1.03725605300418
CAD_UKBB,0,1.19141271596015
CAD_UKBB,10,1.15899645912117
CAD_UKBB,12,1.15399485400963
CAD_UKBB,14,1.15313864725736
CAD_UKBB,16,1.15300377401167
CAD_UKBB,2,1.17807164477979
CAD_UKBB,4,1.17338560553768
CAD_UKBB,6,1.16796457890435
CAD_UKBB,8,1.1664461576045
ea_quant_binary,0,1.73695804548151
ea_quant_binary,10,1.34175656413991
ea_quant_binary,12,1.33183283477569
ea_quant_binary,14,1.32954088185265
ea_quant_binary,16,1.32387973502799
ea_quant_binary,2,1.54131276397237
ea_quant_binary,4,1.40831304277187
ea_quant_binary,6,1.38210428238479
ea_quant_binary,8,1.38306183587731
prostate_cancer_self_report,0,1.04346107154598
prostate_cancer_self_report,10,1.03796546284247
prostate_cancer_self_report,12,1.03799902485291
prostate_cancer_self_report,14,1.03795107936824
prostate_cancer_self_report,16,1.0385121435971
prostate_cancer_self_report,2,1.04310012722941
prostate_cancer_self_report,4,1.04257571893651
prostate_cancer_self_report,6,1.03739503086575
prostate_cancer_self_report,8,1.03755798787973
T2D_UKBB,0,1.23182113579617
T2D_UKBB,10,1.22051346702528
T2D_UKBB,12,1.21410449259097
T2D_UKBB,14,1.21391559621867
T2D_UKBB,16,1.21361880514794
T2D_UKBB,2,1.22809189391779
T2D_UKBB,4,1.22901792910879
T2D_UKBB,6,1.22311697795648
T2D_UKBB,8,1.22205878111281
